Country,City,Year,Crime Index
UK,CityA,2016,61.48
UK,CityA,2017,34.13
UK,CityA,2018,77.63
UK,CityA,2019,41.2
UK,CityA,2020,82.99
UK,CityA,2021,71.18
UK,CityA,2022,50.48
UK,CityA,2023,57.45
UK,CityB,2015,61.68
UK,CityB,2016,35.85
UK,CityB,2017,47.41
UK,CityB,2018,35.31
UK,CityB,2019,65.94
UK,CityB,2020,59.24
UK,CityB,2021,66.3
UK,CityB,2022,70.75
UK,CityB,2023,81.94
UK,CityC,2015,47.05
UK,CityC,2016,77.61
UK,CityC,2017,45.22
UK,CityC,2018,74.03
UK,CityC,2019,59.45
UK,CityC,2020,41.64
UK,CityC,2021,81.82
UK,CityC,2022,52.9
UK,CityC,2023,77.47
UK,CityD,2015,74.35
UK,CityD,2016,62.69
UK,CityD,2017,40.88
UK,CityD,2018,61.85
UK,CityD,2019,39.73
UK,CityD,2020,33.56
UK,CityD,2021,64.59
UK,CityD,2022,67.67
UK,CityD,2023,71.51
Germany,CityA,2015,46.27
Germany,CityA,2016,63.83
Germany,CityA,2017,65.02
Germany,CityA,2018,37.29
Germany,CityA,2019,46.24
Germany,CityA,2020,83.12
Germany,CityA,2021,81.39
Germany,CityA,2022,76.76
Germany,CityA,2023,66.79
Germany,CityB,2015,39.76
Germany,CityB,2016,44.56
Germany,CityB,2017,63.63
Germany,CityB,2018,81.38
Germany,CityB,2019,79.22
Germany,CityB,2020,37.91
Germany,CityB,2021,60.21
Germany,CityB,2022,87.65
Germany,CityB,2023,51.8
Germany,CityC,2015,72.56
Germany,CityC,2016,39.53
Germany,CityC,2017,79.2
Germany,CityC,2018,60.29
Germany,CityC,2019,66.71
Germany,CityC,2020,42.1
Germany,CityC,2021,81.31
Germany,CityC,2022,73.27
Germany,CityC,2023,54.32
Germany,CityD,2015,70.47
Germany,CityD,2016,74.77
Germany,CityD,2017,57.57
Germany,CityD,2018,73.36
Germany,CityD,2019,70.28
Germany,CityD,2020,78.69
Germany,CityD,2021,52.34
Germany,CityD,2022,62.67
Germany,CityD,2023,61.62
France,CityA,2015,44.33
France,CityA,2016,32.06
France,CityA,2017,72.85
France,CityA,2018,39.42
France,CityA,2019,71.36
France,CityA,2020,64.07
France,CityA,2021,38.77
France,CityA,2022,64.99
France,CityA,2023,78.11
France,CityB,2015,55.82
France,CityB,2016,70.53
France,CityB,2017,53.11
France,CityB,2018,35.66
France,CityB,2019,76.58
France,CityB,2020,53.81
France,CityB,2021,42.32
France,CityB,2022,65.96
France,CityB,2023,69.25
France,CityC,2015,77.74
France,CityC,2016,58.83
France,CityC,2017,52.48
France,CityC,2018,51.57
France,CityC,2019,33.18
France,CityC,2020,35.0
France,CityC,2021,79.99
France,CityC,2022,57.89
France,CityC,2023,62.37
France,CityD,2015,38.66
France,CityD,2016,51.04
France,CityD,2017,62.85
France,CityD,2018,52.11
France,CityD,2019,60.58
France,CityD,2020,66.25
France,CityD,2021,40.38
France,CityD,2022,38.93
France,CityD,2023,85.62
Canada,CityA,2015,49.41
Canada,CityA,2016,53.96
Canada,CityA,2017,78.85
Canada,CityA,2018,82.28
Canada,CityA,2019,42.07
Canada,CityA,2020,37.63
Canada,CityA,2021,41.82
Canada,CityA,2022,39.29
Canada,CityA,2023,76.43
Canada,CityB,2015,70.72
Canada,CityB,2016,37.1
Canada,CityB,2017,64.2
Canada,CityB,2018,70.66
Canada,CityB,2019,46.81
Canada,CityB,2020,74.06
Canada,CityB,2021,85.0
Canada,CityB,2022,57.54
Canada,CityB,2023,58.49
Canada,CityC,2015,72.92
Canada,CityC,2016,68.8
Canada,CityC,2017,37.96
Canada,CityC,2018,59.24
Canada,CityC,2019,51.58
Canada,CityC,2020,52.01
Canada,CityC,2021,78.82
Canada,CityC,2022,56.12
Canada,CityC,2023,86.12
Canada,CityD,2015,61.59
Canada,CityD,2016,45.49
Canada,CityD,2017,66.13
Canada,CityD,2018,73.45
Canada,CityD,2019,38.54
Canada,CityD,2020,38.13
Canada,CityD,2021,60.4
Canada,CityD,2022,51.87
Canada,CityD,2023,47.24
Australia,CityA,2015,60.91
Australia,CityA,2016,35.41
Australia,CityA,2017,36.28
Australia,CityA,2018,67.06
Australia,CityA,2019,40.19
Australia,CityA,2020,53.07
Australia,CityA,2021,79.32
Australia,CityA,2022,88.07
Australia,CityA,2023,53.48
Australia,CityB,2015,68.86
Australia,CityB,2016,52.62
Australia,CityB,2017,37.55
Australia,CityB,2018,33.47
Australia,CityB,2019,35.29
Australia,CityB,2020,41.62
Australia,CityB,2021,73.8
Australia,CityB,2022,84.23
Australia,CityB,2023,55.23
Australia,CityC,2015,41.18
Australia,CityC,2016,32.08
Australia,CityC,2017,34.94
Australia,CityC,2018,60.86
Australia,CityC,2019,37.91
Australia,CityC,2020,83.58
Australia,CityC,2021,68.64
Australia,CityC,2022,60.62
Australia,CityC,2023,70.42
Australia,CityD,2015,32.27
Australia,CityD,2016,78.91
Australia,CityD,2017,55.02
Australia,CityD,2018,45.93
Australia,CityD,2019,56.6
Australia,CityD,2020,62.07
Australia,CityD,2021,87.64
Australia,CityD,2022,72.16
Australia,CityD,2023,55.99
